Mach,alpha_deg,Reynolds,CA
0.9,4.0,1000000.0,0.543
1.2,4.0,1000000.0,0.959
2.0,4.0,1000000.0,0.772
3.0,4.0,1000000.0,0.67
4.0,4.0,1000000.0,0.596
5.0,4.0,1000000.0,0.541
0.29,6.0,1000000.0,0.47
0.3,6.0,1000000.0,0.47
0.5,6.0,1000000.0,0.468
0.7,6.0,1000000.0,0.464
0.9,6.0,1000000.0,0.539
1.2,6.0,1000000.0,0.951
2.0,6.0,1000000.0,0.768
3.0,6.0,1000000.0,0.669
4.0,6.0,1000000.0,0.596
5.0,6.0,1000000.0,0.541
0.29,8.0,1000000.0,0.469
0.3,8.0,1000000.0,0.468
0.5,8.0,1000000.0,0.466
0.7,8.0,1000000.0,0.459
0.9,8.0,1000000.0,0.533
1.2,8.0,1000000.0,0.94
2.0,8.0,1000000.0,0.763
3.0,8.0,1000000.0,0.668
4.0,8.0,1000000.0,0.596
5.0,8.0,1000000.0,0.543
0.29,10.0,1000000.0,0.469
0.3,10.0,1000000.0,0.469
0.5,10.0,1000000.0,0.465
0.7,10.0,1000000.0,0.455
0.9,10.0,1000000.0,0.526
1.2,10.0,1000000.0,0.926
2.0,10.0,1000000.0,0.756
3.0,10.0,1000000.0,0.666
4.0,10.0,1000000.0,0.596
5.0,10.0,1000000.0,0.544
0.29,12.0,1000000.0,0.47
0.3,12.0,1000000.0,0.47
0.5,12.0,1000000.0,0.466
0.7,12.0,1000000.0,0.456
0.9,12.0,1000000.0,0.525
1.2,12.0,1000000.0,0.91
2.0,12.0,1000000.0,0.749
3.0,12.0,1000000.0,0.663
4.0,12.0,1000000.0,0.597
5.0,12.0,1000000.0,0.546
0.29,14.0,1000000.0,0.471
0.3,14.0,1000000.0,0.471
0.5,14.0,1000000.0,0.468
0.7,14.0,1000000.0,0.458
0.9,14.0,1000000.0,0.524
1.2,14.0,1000000.0,0.89
2.0,14.0,1000000.0,0.739
3.0,14.0,1000000.0,0.66
4.0,14.0,1000000.0,0.597
5.0,14.0,1000000.0,0.547
0.29,16.0,1000000.0,0.466
0.3,16.0,1000000.0,0.465
0.5,16.0,1000000.0,0.463
0.7,16.0,1000000.0,0.453
0.9,16.0,1000000.0,0.518
1.2,16.0,1000000.0,0.868
2.0,16.0,1000000.0,0.729
3.0,16.0,1000000.0,0.657
4.0,16.0,1000000.0,0.597
5.0,16.0,1000000.0,0.55
0.29,18.0,1000000.0,0.449
0.3,18.0,1000000.0,0.449
0.5,18.0,1000000.0,0.444
0.7,18.0,1000000.0,0.435
0.9,18.0,1000000.0,0.502
1.2,18.0,1000000.0,0.843
2.0,18.0,1000000.0,0.717
3.0,18.0,1000000.0,0.653
4.0,18.0,1000000.0,0.596
5.0,18.0,1000000.0,0.552
0.29,20.0,1000000.0,0.422
0.3,20.0,1000000.0,0.422
0.5,20.0,1000000.0,0.417
0.7,20.0,1000000.0,0.407
0.9,20.0,1000000.0,0.474
1.2,20.0,1000000.0,0.816
2.0,20.0,1000000.0,0.704
3.0,20.0,1000000.0,0.648
4.0,20.0,1000000.0,0.596
5.0,20.0,1000000.0,0.554
0.29,0.0,3000000.0,0.431
0.3,0.0,3000000.0,0.43
0.5,0.0,3000000.0,0.426
0.7,0.0,3000000.0,0.42
0.9,0.0,3000000.0,0.49
1.2,0.0,3000000.0,0.913
2.0,0.0,3000000.0,0.725
3.0,0.0,3000000.0,0.626
4.0,0.0,3000000.0,0.554
5.0,0.0,3000000.0,0.5
0.29,2.0,3000000.0,0.429
0.3,2.0,3000000.0,0.429
0.5,2.0,3000000.0,0.425
0.7,2.0,3000000.0,0.418
0.9,2.0,3000000.0,0.489
1.2,2.0,3000000.0,0.911
2.0,2.0,3000000.0,0.725
3.0,2.0,3000000.0,0.626
4.0,2.0,3000000.0,0.554
5.0,2.0,3000000.0,0.5
0.29,4.0,3000000.0,0.426
0.3,4.0,3000000.0,0.425
0.5,4.0,3000000.0,0.421
0.7,4.0,3000000.0,0.414
0.9,4.0,3000000.0,0.487
1.2,4.0,3000000.0,0.907
2.0,4.0,3000000.0,0.723
3.0,4.0,3000000.0,0.625
4.0,4.0,3000000.0,0.554
5.0,4.0,3000000.0,0.501
0.29,6.0,3000000.0,0.421
0.3,6.0,3000000.0,0.42
0.5,6.0,3000000.0,0.416
0.7,6.0,3000000.0,0.409
0.9,6.0,3000000.0,0.483
1.2,6.0,3000000.0,0.899
2.0,6.0,3000000.0,0.719
3.0,6.0,3000000.0,0.624
4.0,6.0,3000000.0,0.554
5.0,6.0,3000000.0,0.502
0.29,8.0,3000000.0,0.414
0.3,8.0,3000000.0,0.414
0.5,8.0,3000000.0,0.409
0.7,8.0,3000000.0,0.401
0.9,8.0,3000000.0,0.477
1.2,8.0,3000000.0,0.889
2.0,8.0,3000000.0,0.714
3.0,8.0,3000000.0,0.623
4.0,8.0,3000000.0,0.555
5.0,8.0,3000000.0,0.503
0.29,10.0,3000000.0,0.41
0.3,10.0,3000000.0,0.409
0.5,10.0,3000000.0,0.404
0.7,10.0,3000000.0,0.394
0.9,10.0,3000000.0,0.471
1.2,10.0,3000000.0,0.875
2.0,10.0,3000000.0,0.708
3.0,10.0,3000000.0,0.621
4.0,10.0,3000000.0,0.555
5.0,10.0,3000000.0,0.505
0.29,12.0,3000000.0,0.41
0.3,12.0,3000000.0,0.41
0.5,12.0,3000000.0,0.405
0.7,12.0,3000000.0,0.393
0.9,12.0,3000000.0,0.47
1.2,12.0,3000000.0,0.859
2.0,12.0,3000000.0,0.701
3.0,12.0,3000000.0,0.619
4.0,12.0,3000000.0,0.555
5.0,12.0,3000000.0,0.507
0.29,14.0,3000000.0,0.412
0.3,14.0,3000000.0,0.412
0.5,14.0,3000000.0,0.407
0.7,14.0,3000000.0,0.396
0.9,14.0,3000000.0,0.469
1.2,14.0,3000000.0,0.84
2.0,14.0,3000000.0,0.692
3.0,14.0,3000000.0,0.616
4.0,14.0,3000000.0,0.556
5.0,14.0,3000000.0,0.509
0.29,16.0,3000000.0,0.408
0.3,16.0,3000000.0,0.407
0.5,16.0,3000000.0,0.403
0.7,16.0,3000000.0,0.392
0.9,16.0,3000000.0,0.464
1.2,16.0,3000000.0,0.819
2.0,16.0,3000000.0,0.682
3.0,16.0,3000000.0,0.614
4.0,16.0,3000000.0,0.556
5.0,16.0,3000000.0,0.512
0.29,18.0,3000000.0,0.393
0.3,18.0,3000000.0,0.393
0.5,18.0,3000000.0,0.387
0.7,18.0,3000000.0,0.376
0.9,18.0,3000000.0,0.448
1.2,18.0,3000000.0,0.795
2.0,18.0,3000000.0,0.671
3.0,18.0,3000000.0,0.61
4.0,18.0,3000000.0,0.557
5.0,18.0,3000000.0,0.514
0.29,20.0,3000000.0,0.369
0.3,20.0,3000000.0,0.369
0.5,20.0,3000000.0,0.362
0.7,20.0,3000000.0,0.35
0.9,20.0,3000000.0,0.42
1.2,20.0,3000000.0,0.769
2.0,20.0,3000000.0,0.659
3.0,20.0,3000000.0,0.607
4.0,20.0,3000000.0,0.557
5.0,20.0,3000000.0,0.517
0.29,0.0,5000000.0,0.431
0.3,0.0,5000000.0,0.43
0.5,0.0,5000000.0,0.426
0.7,0.0,5000000.0,0.42
0.9,0.0,5000000.0,0.49
1.2,0.0,5000000.0,0.91
2.0,0.0,5000000.0,0.708
3.0,0.0,5000000.0,0.609
4.0,0.0,5000000.0,0.538
5.0,0.0,5000000.0,0.485
0.29,2.0,5000000.0,0.429
0.3,2.0,5000000.0,0.428
0.5,2.0,5000000.0,0.424
0.7,2.0,5000000.0,0.418
0.9,2.0,5000000.0,0.489
1.2,2.0,5000000.0,0.909
2.0,2.0,5000000.0,0.707
3.0,2.0,5000000.0,0.609
4.0,2.0,5000000.0,0.538
5.0,2.0,5000000.0,0.486
0.29,4.0,5000000.0,0.423
0.3,4.0,5000000.0,0.423
0.5,4.0,5000000.0,0.419
0.7,4.0,5000000.0,0.412
0.9,4.0,5000000.0,0.487
1.2,4.0,5000000.0,0.904
2.0,4.0,5000000.0,0.705
3.0,4.0,5000000.0,0.608
4.0,4.0,5000000.0,0.538
5.0,4.0,5000000.0,0.486
0.29,6.0,5000000.0,0.415
0.3,6.0,5000000.0,0.415
0.5,6.0,5000000.0,0.411
0.7,6.0,5000000.0,0.404
0.9,6.0,5000000.0,0.483
1.2,6.0,5000000.0,0.896
2.0,6.0,5000000.0,0.701
3.0,6.0,5000000.0,0.607
4.0,6.0,5000000.0,0.539
5.0,6.0,5000000.0,0.487
0.29,8.0,5000000.0,0.404
0.3,8.0,5000000.0,0.404
0.5,8.0,5000000.0,0.4
0.7,8.0,5000000.0,0.392
0.9,8.0,5000000.0,0.477
1.2,8.0,5000000.0,0.886
2.0,8.0,5000000.0,0.697
3.0,8.0,5000000.0,0.606
4.0,8.0,5000000.0,0.539
5.0,8.0,5000000.0,0.489
0.29,10.0,5000000.0,0.394
0.3,10.0,5000000.0,0.394
0.5,10.0,5000000.0,0.39
0.7,10.0,5000000.0,0.381
0.9,10.0,5000000.0,0.471
1.2,10.0,5000000.0,0.873
2.0,10.0,5000000.0,0.691
3.0,10.0,5000000.0,0.605
4.0,10.0,5000000.0,0.54
5.0,10.0,5000000.0,0.49
0.29,12.0,5000000.0,0.393
0.3,12.0,5000000.0,0.393
0.5,12.0,5000000.0,0.389
0.7,12.0,5000000.0,0.38
0.9,12.0,5000000.0,0.47
1.2,12.0,5000000.0,0.856
2.0,12.0,5000000.0,0.684
3.0,12.0,5000000.0,0.603
4.0,12.0,5000000.0,0.54
5.0,12.0,5000000.0,0.493
0.29,14.0,5000000.0,0.396
0.3,14.0,5000000.0,0.395
0.5,14.0,5000000.0,0.392
0.7,14.0,5000000.0,0.383
0.9,14.0,5000000.0,0.469
1.2,14.0,5000000.0,0.838
2.0,14.0,5000000.0,0.675
3.0,14.0,5000000.0,0.6
4.0,14.0,5000000.0,0.541
5.0,14.0,5000000.0,0.495
0.29,16.0,5000000.0,0.393
0.3,16.0,5000000.0,0.392
0.5,16.0,5000000.0,0.389
0.7,16.0,5000000.0,0.38
0.9,16.0,5000000.0,0.464
1.2,16.0,5000000.0,0.816
2.0,16.0,5000000.0,0.666
3.0,16.0,5000000.0,0.598
4.0,16.0,5000000.0,0.542
5.0,16.0,5000000.0,0.498
0.29,18.0,5000000.0,0.379
0.3,18.0,5000000.0,0.379
0.5,18.0,5000000.0,0.375
0.7,18.0,5000000.0,0.366
0.9,18.0,5000000.0,0.448
1.2,18.0,5000000.0,0.793
2.0,18.0,5000000.0,0.655
3.0,18.0,5000000.0,0.595
4.0,18.0,5000000.0,0.542
5.0,18.0,5000000.0,0.501
0.29,20.0,5000000.0,0.359
0.3,20.0,5000000.0,0.359
0.5,20.0,5000000.0,0.353
0.7,20.0,5000000.0,0.342
0.9,20.0,5000000.0,0.42
1.2,20.0,5000000.0,0.767
2.0,20.0,5000000.0,0.643
3.0,20.0,5000000.0,0.591
4.0,20.0,5000000.0,0.543
5.0,20.0,5000000.0,0.504
0.29,0.0,7000000.0,0.431
0.3,0.0,7000000.0,0.43
0.5,0.0,7000000.0,0.426
0.7,0.0,7000000.0,0.42
0.9,0.0,7000000.0,0.49
1.2,0.0,7000000.0,0.91
2.0,0.0,7000000.0,0.706
3.0,0.0,7000000.0,0.599
4.0,0.0,7000000.0,0.529
5.0,0.0,7000000.0,0.477
0.29,2.0,7000000.0,0.428
0.3,2.0,7000000.0,0.428
0.5,2.0,7000000.0,0.423
0.7,2.0,7000000.0,0.417
0.9,2.0,7000000.0,0.489
1.2,2.0,7000000.0,0.909
2.0,2.0,7000000.0,0.706
3.0,2.0,7000000.0,0.599
4.0,2.0,7000000.0,0.529
5.0,2.0,7000000.0,0.477
0.29,4.0,7000000.0,0.42
0.3,4.0,7000000.0,0.42
0.5,4.0,7000000.0,0.416
0.7,4.0,7000000.0,0.41
0.9,4.0,7000000.0,0.487
1.2,4.0,7000000.0,0.904
2.0,4.0,7000000.0,0.704
3.0,4.0,7000000.0,0.598
4.0,4.0,7000000.0,0.529
5.0,4.0,7000000.0,0.478
0.29,6.0,7000000.0,0.409
0.3,6.0,7000000.0,0.409
0.5,6.0,7000000.0,0.405
0.7,6.0,7000000.0,0.4
0.9,6.0,7000000.0,0.483
1.2,6.0,7000000.0,0.896
2.0,6.0,7000000.0,0.7
3.0,6.0,7000000.0,0.597
4.0,6.0,7000000.0,0.53
5.0,6.0,7000000.0,0.479
0.29,8.0,7000000.0,0.393
0.3,8.0,7000000.0,0.393
0.5,8.0,7000000.0,0.39
0.7,8.0,7000000.0,0.384
0.9,8.0,7000000.0,0.477
1.2,8.0,7000000.0,0.886
2.0,8.0,7000000.0,0.696
3.0,8.0,7000000.0,0.596
4.0,8.0,7000000.0,0.53
5.0,8.0,7000000.0,0.48
0.29,10.0,7000000.0,0.378
0.3,10.0,7000000.0,0.378
0.5,10.0,7000000.0,0.375
0.7,10.0,7000000.0,0.369
0.9,10.0,7000000.0,0.471
1.2,10.0,7000000.0,0.873
2.0,10.0,7000000.0,0.69
3.0,10.0,7000000.0,0.595
4.0,10.0,7000000.0,0.531
5.0,10.0,7000000.0,0.482
0.29,12.0,7000000.0,0.376
0.3,12.0,7000000.0,0.376
0.5,12.0,7000000.0,0.373
0.7,12.0,7000000.0,0.367
0.9,12.0,7000000.0,0.47
1.2,12.0,7000000.0,0.856
2.0,12.0,7000000.0,0.682
3.0,12.0,7000000.0,0.593
4.0,12.0,7000000.0,0.532
5.0,12.0,7000000.0,0.484
0.29,14.0,7000000.0,0.379
0.3,14.0,7000000.0,0.379
0.5,14.0,7000000.0,0.377
0.7,14.0,7000000.0,0.371
0.9,14.0,7000000.0,0.469
1.2,14.0,7000000.0,0.838
2.0,14.0,7000000.0,0.674
3.0,14.0,7000000.0,0.591
4.0,14.0,7000000.0,0.532
5.0,14.0,7000000.0,0.487
0.29,16.0,7000000.0,0.377
0.3,16.0,7000000.0,0.377
0.5,16.0,7000000.0,0.375
0.7,16.0,7000000.0,0.369
0.9,16.0,7000000.0,0.464
1.2,16.0,7000000.0,0.816
2.0,16.0,7000000.0,0.664
3.0,16.0,7000000.0,0.588
4.0,16.0,7000000.0,0.533
5.0,16.0,7000000.0,0.49
0.29,18.0,7000000.0,0.366
0.3,18.0,7000000.0,0.366
0.5,18.0,7000000.0,0.363
0.7,18.0,7000000.0,0.355
0.9,18.0,7000000.0,0.448
1.2,18.0,7000000.0,0.793
2.0,18.0,7000000.0,0.654
3.0,18.0,7000000.0,0.585
4.0,18.0,7000000.0,0.534
5.0,18.0,7000000.0,0.493
0.29,20.0,7000000.0,0.348
0.3,20.0,7000000.0,0.348
0.5,20.0,7000000.0,0.343
0.7,20.0,7000000.0,0.333
0.9,20.0,7000000.0,0.421
1.2,20.0,7000000.0,0.767
2.0,20.0,7000000.0,0.642
3.0,20.0,7000000.0,0.582
4.0,20.0,7000000.0,0.535
5.0,20.0,7000000.0,0.496
0.29,0.0,10000000.0,0.431
0.3,0.0,10000000.0,0.43
0.5,0.0,10000000.0,0.426
0.7,0.0,10000000.0,0.42
