time_s,thrust_N,mass_flow_kg_s
2.06,48671.8,20.005836703824276
2.08,48686.7,20.011961132484956
2.09,48701.9,20.018208871789813
2.11,48717.5,20.0246210252869
2.12,48733.4,20.031156489428167
2.13,48749.6,20.037815264213606
2.15,48766.1,20.04459734964322
2.16,48782.9,20.05150274571701
2.18,48800.1,20.05857255598303
2.19,48817.6,20.06576567689323
2.2,48835.4,20.0730821084476
2.22,48853.5,20.080521850646146
2.23,48872.0,20.088126007036927
2.25,48890.8,20.095853474071884
2.26,48909.8,20.103663148202955
2.27,48929.2,20.111637236526256
2.29,48949.0,20.119775739041792
2.3,48969.0,20.127996448653448
2.32,48989.3,20.136340468909278
2.33,49010.0,20.144848903357335
2.34,49030.9,20.153439544901516
2.36,49052.2,20.162194600637925
2.37,49073.8,20.171072967018514
2.39,49095.6,20.180033540495213
2.4,49117.8,20.18915852816415
2.41,49140.3,20.19840682647726
2.43,49163.1,20.207778435434545
2.44,49186.2,20.217273355036003
2.46,49209.6,20.22689158528164
2.47,49233.3,20.23663312617145
2.48,49257.2,20.246456874157374
2.5,49281.5,20.256445036335535
2.51,49306.1,20.26655650915787
2.53,49331.0,20.276791292624377
2.54,49356.2,20.28714938673506
2.56,49381.6,20.297589687941862
2.57,49407.4,20.308194403340895
2.58,49433.5,20.318922429384102
2.6,49459.8,20.32973266252343
2.61,49486.5,20.340707309854984
2.63,49513.4,20.35176416428266
2.64,49540.6,20.36294432935451
2.65,49568.2,20.37428890861859
2.67,49596.0,20.38571569497879
2.68,49624.1,20.397265791983163
2.7,49652.5,20.40893919963171
2.71,49681.1,20.420694814376375
2.72,49710.1,20.432614843313274
2.74,49739.3,20.44461707934629
2.75,49768.9,20.456783729571537
2.77,49798.7,20.469032586892897
2.78,49828.8,20.48140475485844
2.79,49859.1,20.493859129920093
2.81,49889.8,20.50647791917398
2.82,49920.7,20.519178915523987
2.84,49951.9,20.532003222518167
2.85,49983.4,20.54495084015652
2.87,50015.2,20.55802176843905
2.88,50047.3,20.571216007365756
2.89,50079.6,20.584492453388574
2.91,50112.2,20.59789221005557
2.92,50145.0,20.61137417381868
2.94,50178.2,20.62502055177403
2.95,50211.6,20.63874913682549
2.96,50245.3,20.652601032521126
2.98,50279.2,20.666535135312877
2.99,50313.5,20.680633652296866
3.01,50348.0,20.694814376376968
3.02,50382.8,20.709118411101247
3.03,50417.8,20.72350465292164
3.05,50453.1,20.738014205386207
3.06,50488.7,20.75264706849495
3.08,50524.6,20.76740324224787
3.09,50560.7,20.782241623096905
3.1,50597.2,20.79724441813817
3.12,50633.8,20.8122883167275
3.13,50670.8,20.82749662950906
3.15,50708.0,20.842787149386734
3.16,50745.5,20.858200979908585
3.18,50783.2,20.87369701752655
3.19,50821.2,20.889316365788694
3.2,50859.5,20.90505902469501
3.22,50898.0,20.920883890697443
3.23,50936.8,20.936832067344053
3.25,50975.9,20.952903554634837
3.26,51015.2,20.969057249021734
3.27,51054.8,20.98533425405281
3.29,51094.7,21.001734569728058
3.3,51134.8,21.018217092499423
3.32,51175.2,21.034822925914963
3.33,51215.8,21.051510966426623
3.34,51256.7,21.068322317582453
3.36,51297.9,21.08525697938246
3.37,51339.3,21.102273848278585
3.39,51381.0,21.11941402781888
3.4,51422.9,21.136636414455296
3.41,51465.2,21.154023215283942
3.43,51507.6,21.17145111966065
3.44,51550.4,21.18904343822959
3.46,51593.4,21.206717963894643
